Time(s),Thermocouple_Temperature(C)
165,28
290,45
300,49
310,52
320,54
330,57
340,59
350,62
360,64
370,66
380,68
390,70
400,73
410,75
420,77
430,78
440,80
450,82
460,84
470,86
480,87
490,89
500,90
510,92
520,93
530,95
540,97
550,98
570,101
600,106
620,111
630,114
670,134
690,149
700,156
720,171
750,192
770,208
820,242
850,260
870,270
880,277
900,290
925,308
950,324
975,339
1020,369
1050,387
1090,409
1100,414
1125,427
1150,447
1175,470
1200,489
1225,504
1270,495
1290,490
1300,492
1400,1106
1420,1073
1450,1134
1460,1155
1470,1174
1480,1183
1490,1186
1500,1197
1530,1126
1550,1139
1560,1140
1570,1140
1590,1111
1600,1105
1630,1099
1640,1099
1680,1067
1700,1062
1725,1056
1750,1023
1775,1007
1800,1001
1825,981
1850,969
1875,957
1900,923
1925,906
1950,880
1975,868
2010,843
2025,833
2060,772
2075,746
2100,714
2125,684
2150,659
2175,636
2200,612
2250,567
2275,547
2325,500
2400,446
2450,420
2475,409
2500,399
2525,389
2575,370
2600,360
2625,351
2650,342
2675,333
2700,323
