2024-03-08 19:05:45 - 2024-03-08 19:38:04

Timestamp	EXI0428_T(C)	EXI0428_I	EXI0428_P(C)	EXI0428_Mean(C)	EXI0428_Std.dev.(C)	EXI0428_Tamb	EXI0428_E	EXI0428_Cal	EXI0428_TF	EXI0428_OFF
0.000	217.506	2.97692e-11	FALSE	FALSE	FALSE	29.6362	0.26700	1.00000	1.0000	0.00000e+0
0.200	217.459	2.97177e-11	FALSE	FALSE	FALSE	29.6362	0.26700	1.00000	1.0000	0.00000e+0
0.400	217.476	2.97357e-11	FALSE	FALSE	FALSE	29.6367	0.26700	1.00000	1.0000	0.00000e+0
0.600	217.381	2.96314e-11	FALSE	FALSE	FALSE	29.6367	0.26700	1.00000	1.0000	0.00000e+0
0.800	217.421	2.96754e-11	FALSE	FALSE	FALSE	29.6367	0.26700	1.00000	1.0000	0.00000e+0
1.000	217.371	2.96207e-11	FALSE	FALSE	FALSE	29.6368	0.26700	1.00000	1.0000	0.00000e+0
1.200	217.382	2.96330e-11	FALSE	FALSE	FALSE	29.6368	0.26700	1.00000	1.0000	0.00000e+0
1.400	217.332	2.95773e-11	FALSE	FALSE	FALSE	29.6368	0.26700	1.00000	1.0000	0.00000e+0
1.600	217.280	2.95203e-11	FALSE	FALSE	FALSE	29.6368	0.26700	1.00000	1.0000	0.00000e+0
1.800	217.251	2.94885e-11	FALSE	FALSE	FALSE	29.6368	0.26700	1.00000	1.0000	0.00000e+0
2.000	217.272	2.95110e-11	FALSE	FALSE	FALSE	29.6370	0.26700	1.00000	1.0000	0.00000e+0
2.200	217.187	2.94178e-11	FALSE	FALSE	FALSE	29.6370	0.26700	1.00000	1.0000	0.00000e+0
2.400	217.186	2.94162e-11	FALSE	FALSE	FALSE	29.6370	0.26700	1.00000	1.0000	0.00000e+0
2.600	217.152	2.93786e-11	FALSE	FALSE	FALSE	29.6370	0.26700	1.00000	1.0000	0.00000e+0
2.800	217.123	2.93466e-11	FALSE	FALSE	FALSE	29.6372	0.26700	1.00000	1.0000	0.00000e+0
3.000	217.034	2.92494e-11	FALSE	FALSE	FALSE	29.6372	0.26700	1.00000	1.0000	0.00000e+0
