2024-03-14 13:31:33 - 2024-03-14 13:48:06

Timestamp	EXI0428_T(C)	EXI0428_I	EXI0428_P(C)	EXI0428_Mean(C)	EXI0428_Std.dev.(C)	EXI0428_Tamb	EXI0428_E	EXI0428_Cal	EXI0428_TF	EXI0428_OFF
0.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8795	0.03000	1.00000	1.0000	0.00000e+0
0.200	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8800	0.03000	1.00000	1.0000	0.00000e+0
0.400	100.000	9.54914e-15	100.000	FALSE	FALSE	28.8800	0.03000	1.00000	1.0000	0.00000e+0
0.600	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8803	0.03000	1.00000	1.0000	0.00000e+0
0.800	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8803	0.03000	1.00000	1.0000	0.00000e+0
1.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8803	0.03000	1.00000	1.0000	0.00000e+0
1.200	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8806	0.03000	1.00000	1.0000	0.00000e+0
1.400	100.000	2.53344e-15	100.000	FALSE	FALSE	28.8806	0.03000	1.00000	1.0000	0.00000e+0
1.600	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8809	0.03000	1.00000	1.0000	0.00000e+0
1.800	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8809	0.03000	1.00000	1.0000	0.00000e+0
2.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8809	0.03000	1.00000	1.0000	0.00000e+0
2.200	117.462	3.44556e-14	100.000	FALSE	FALSE	28.8810	0.03175	1.00000	1.0000	0.00000e+0
2.400	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8810	0.03000	1.00000	1.0000	0.00000e+0
2.600	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8812	0.03000	1.00000	1.0000	0.00000e+0
2.800	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8812	0.03000	1.00000	1.0000	0.00000e+0
3.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8815	0.03000	1.00000	1.0000	0.00000e+0
3.200	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8815	0.03000	1.00000	1.0000	0.00000e+0
3.400	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8815	0.03000	1.00000	1.0000	0.00000e+0
3.600	103.828	1.45277e-14	100.000	FALSE	FALSE	28.8818	0.03038	1.00000	1.0000	0.00000e+0
3.800	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8818	0.03000	1.00000	1.0000	0.00000e+0
4.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8822	0.03000	1.00000	1.0000	0.00000e+0
4.200	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8822	0.03000	1.00000	1.0000	0.00000e+0
4.400	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8822	0.03000	1.00000	1.0000	0.00000e+0
4.600	110.698	2.25297e-14	100.000	FALSE	FALSE	28.8824	0.03107	1.00000	1.0000	0.00000e+0
4.800	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8824	0.03000	1.00000	1.0000	0.00000e+0
5.000	100.000	1.20042e-15	100.000	FALSE	FALSE	28.8828	0.03000	1.00000	1.0000	0.00000e+0
5.200	100.000	6.12577e-15	100.000	FALSE	FALSE	28.8828	0.03000	1.00000	1.0000	0.00000e+0
5.400	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8830	0.03000	1.00000	1.0000	0.00000e+0
5.600	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8830	0.03000	1.00000	1.0000	0.00000e+0
5.800	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8830	0.03000	1.00000	1.0000	0.00000e+0
6.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8830	0.03000	1.00000	1.0000	0.00000e+0
6.200	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8830	0.03000	1.00000	1.0000	0.00000e+0
6.400	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8835	0.03000	1.00000	1.0000	0.00000e+0
6.600	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8835	0.03000	1.00000	1.0000	0.00000e+0
6.800	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8835	0.03000	1.00000	1.0000	0.00000e+0
7.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8835	0.03000	1.00000	1.0000	0.00000e+0
7.200	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8835	0.03000	1.00000	1.0000	0.00000e+0
7.400	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8837	0.03000	1.00000	1.0000	0.00000e+0
7.600	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8837	0.03000	1.00000	1.0000	0.00000e+0
7.800	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8839	0.03000	1.00000	1.0000	0.00000e+0
8.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8839	0.03000	1.00000	1.0000	0.00000e+0
8.200	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8839	0.03000	1.00000	1.0000	0.00000e+0
8.400	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8838	0.03000	1.00000	1.0000	0.00000e+0
8.600	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8838	0.03000	1.00000	1.0000	0.00000e+0
8.800	111.177	2.32848e-14	100.000	FALSE	FALSE	28.8840	0.03112	1.00000	1.0000	0.00000e+0
9.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8840	0.03000	1.00000	1.0000	0.00000e+0
9.200	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8840	0.03000	1.00000	1.0000	0.00000e+0
9.400	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8839	0.03000	1.00000	1.0000	0.00000e+0
9.600	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8839	0.03000	1.00000	1.0000	0.00000e+0
9.800	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8840	0.03000	1.00000	1.0000	0.00000e+0
10.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8840	0.03000	1.00000	1.0000	0.00000e+0
10.200	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8843	0.03000	1.00000	1.0000	0.00000e+0
10.400	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8843	0.03000	1.00000	1.0000	0.00000e+0
10.600	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8843	0.03000	1.00000	1.0000	0.00000e+0
10.800	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8846	0.03000	1.00000	1.0000	0.00000e+0
11.000	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8846	0.03000	1.00000	1.0000	0.00000e+0
11.200	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8852	0.03000	1.00000	1.0000	0.00000e+0
11.400	100.000	1.00000e-17	100.000	FALSE	FALSE	28.8852	0.03000	1.00000	1.0000	0.00000e+0
