**********************************************************************
ENLYZE PortSniffer Tool 2.1 (acc298dbb4a387e03b3404c1812f60e245738d2b)
Copyright 2020-2022 Colin Finck, ENLYZE GmbH <c.finck@enlyze.com>
**********************************************************************

UTC TIMESTAMP           | T |  LEN | DATA
2024-03-11 01:15:04.662 | C |   24 | IOCTL_SERIAL_SET_BAUD_RATE: 115200
2024-03-11 01:15:04.662 | C |   24 | IOCTL_SERIAL_CLR_RTS
2024-03-11 01:15:04.662 | C |   24 | IOCTL_SERIAL_SET_DTR
2024-03-11 01:15:04.662 | C |   24 | IOCTL_SERIAL_SET_LINE_CONTROL: StopBits:STOP_BIT_1, Parity:NO_PARITY, WordLength:8
2024-03-11 01:15:04.662 | C |   24 | IOCTL_SERIAL_SET_HANDFLOW: ControlHandShake:SERIAL_DTR_CONTROL, FlowReplace:, XonLimit:2048, XoffLimit:2048
2024-03-11 01:15:04.662 | C |   24 | IOCTL_SERIAL_SET_QUEUE_SIZE: InSize:8192, OutSize:2048
2024-03-11 01:15:04.662 | C |   24 | IOCTL_SERIAL_SET_TIMEOUTS: ReadIntervalTimeout:1, ReadTotalTimeoutMultiplier:0, ReadTotalTimeoutConstant:1, WriteTotalTimeoutMultiplier:0, WriteTotalTimeoutConstant:10
2024-03-11 01:15:04.662 | W |    8 | 02 56 56 ED DE 4B 01 03
2024-03-11 01:15:04.722 | W |    4 | 02 56 56 03
2024-03-11 01:15:04.922 | C |   24 | IOCTL_SERIAL_SET_BAUD_RATE: 9600
2024-03-11 01:15:04.922 | C |   24 | IOCTL_SERIAL_CLR_RTS
2024-03-11 01:15:04.922 | C |   24 | IOCTL_SERIAL_SET_DTR
2024-03-11 01:15:04.922 | C |   24 | IOCTL_SERIAL_SET_LINE_CONTROL: StopBits:STOP_BIT_1, Parity:NO_PARITY, WordLength:8
2024-03-11 01:15:04.922 | C |   24 | IOCTL_SERIAL_SET_HANDFLOW: ControlHandShake:SERIAL_DTR_CONTROL, FlowReplace:, XonLimit:2048, XoffLimit:2048
2024-03-11 01:15:04.922 | C |   24 | IOCTL_SERIAL_SET_QUEUE_SIZE: InSize:8192, OutSize:2048
2024-03-11 01:15:04.922 | C |   24 | IOCTL_SERIAL_SET_TIMEOUTS: ReadIntervalTimeout:1, ReadTotalTimeoutMultiplier:0, ReadTotalTimeoutConstant:1, WriteTotalTimeoutMultiplier:0, WriteTotalTimeoutConstant:10
2024-03-11 01:15:04.962 | W |    8 | 00 06 80 00 70 00 84 1B
2024-03-11 01:15:05.102 | C |   24 | IOCTL_SERIAL_SET_BAUD_RATE: 19200
2024-03-11 01:15:05.102 | C |   24 | IOCTL_SERIAL_CLR_RTS
2024-03-11 01:15:05.102 | C |   24 | IOCTL_SERIAL_SET_DTR
2024-03-11 01:15:05.102 | C |   24 | IOCTL_SERIAL_SET_LINE_CONTROL: StopBits:STOP_BIT_1, Parity:NO_PARITY, WordLength:8
2024-03-11 01:15:05.102 | C |   24 | IOCTL_SERIAL_SET_HANDFLOW: ControlHandShake:SERIAL_DTR_CONTROL, FlowReplace:, XonLimit:2048, XoffLimit:2048
2024-03-11 01:15:05.102 | C |   24 | IOCTL_SERIAL_SET_QUEUE_SIZE: InSize:8192, OutSize:2048
2024-03-11 01:15:05.102 | C |   24 | IOCTL_SERIAL_SET_TIMEOUTS: ReadIntervalTimeout:1, ReadTotalTimeoutMultiplier:0, ReadTotalTimeoutConstant:1, WriteTotalTimeoutMultiplier:0, WriteTotalTimeoutConstant:10
2024-03-11 01:15:05.142 | W |    8 | 00 06 80 00 70 00 84 1B
2024-03-11 01:15:05.262 | C |   24 | IOCTL_SERIAL_SET_BAUD_RATE: 38400
2024-03-11 01:15:05.262 | C |   24 | IOCTL_SERIAL_CLR_RTS
2024-03-11 01:15:05.262 | C |   24 | IOCTL_SERIAL_SET_DTR
2024-03-11 01:15:05.262 | C |   24 | IOCTL_SERIAL_SET_LINE_CONTROL: StopBits:STOP_BIT_1, Parity:NO_PARITY, WordLength:8
2024-03-11 01:15:05.262 | C |   24 | IOCTL_SERIAL_SET_HANDFLOW: ControlHandShake:SERIAL_DTR_CONTROL, FlowReplace:, XonLimit:2048, XoffLimit:2048
2024-03-11 01:15:05.262 | C |   24 | IOCTL_SERIAL_SET_QUEUE_SIZE: InSize:8192, OutSize:2048
2024-03-11 01:15:05.262 | C |   24 | IOCTL_SERIAL_SET_TIMEOUTS: ReadIntervalTimeout:1, ReadTotalTimeoutMultiplier:0, ReadTotalTimeoutConstant:1, WriteTotalTimeoutMultiplier:0, WriteTotalTimeoutConstant:10
2024-03-11 01:15:05.302 | W |    8 | 00 06 80 00 70 00 84 1B
2024-03-11 01:15:05.412 | C |   24 | IOCTL_SERIAL_SET_BAUD_RATE: 57600
2024-03-11 01:15:05.412 | C |   24 | IOCTL_SERIAL_CLR_RTS
2024-03-11 01:15:05.412 | C |   24 | IOCTL_SERIAL_SET_DTR
2024-03-11 01:15:05.412 | C |   24 | IOCTL_SERIAL_SET_LINE_CONTROL: StopBits:STOP_BIT_1, Parity:NO_PARITY, WordLength:8
2024-03-11 01:15:05.412 | C |   24 | IOCTL_SERIAL_SET_HANDFLOW: ControlHandShake:SERIAL_DTR_CONTROL, FlowReplace:, XonLimit:2048, XoffLimit:2048
2024-03-11 01:15:05.412 | C |   24 | IOCTL_SERIAL_SET_QUEUE_SIZE: InSize:8192, OutSize:2048
2024-03-11 01:15:05.412 | C |   24 | IOCTL_SERIAL_SET_TIMEOUTS: ReadIntervalTimeout:1, ReadTotalTimeoutMultiplier:0, ReadTotalTimeoutConstant:1, WriteTotalTimeoutMultiplier:0, WriteTotalTimeoutConstant:10
2024-03-11 01:15:05.452 | W |    8 | 00 06 80 00 70 00 84 1B
2024-03-11 01:15:05.572 | C |   24 | IOCTL_SERIAL_SET_BAUD_RATE: 115200
2024-03-11 01:15:05.572 | C |   24 | IOCTL_SERIAL_CLR_RTS
2024-03-11 01:15:05.572 | C |   24 | IOCTL_SERIAL_SET_DTR
2024-03-11 01:15:05.572 | C |   24 | IOCTL_SERIAL_SET_LINE_CONTROL: StopBits:STOP_BIT_1, Parity:NO_PARITY, WordLength:8
2024-03-11 01:15:05.572 | C |   24 | IOCTL_SERIAL_SET_HANDFLOW: ControlHandShake:SERIAL_DTR_CONTROL, FlowReplace:, XonLimit:2048, XoffLimit:2048
2024-03-11 01:15:05.572 | C |   24 | IOCTL_SERIAL_SET_QUEUE_SIZE: InSize:8192, OutSize:2048
2024-03-11 01:15:05.572 | C |   24 | IOCTL_SERIAL_SET_TIMEOUTS: ReadIntervalTimeout:1, ReadTotalTimeoutMultiplier:0, ReadTotalTimeoutConstant:1, WriteTotalTimeoutMultiplier:0, WriteTotalTimeoutConstant:10
2024-03-11 01:15:05.612 | W |    8 | 00 06 80 00 70 00 84 1B
2024-03-11 01:15:05.652 | R |    1 | 06
2024-03-11 01:15:05.652 | W |    4 | 02 56 56 03
2024-03-11 01:15:05.672 | R |   13 | 02 85 26 45 58 49 30 34 32 38 FF FF 03
2024-03-11 01:15:05.682 | W |    4 | 02 50 50 03
2024-03-11 01:15:05.692 | R |    5 | 02 80 FF FF 03
2024-03-11 01:15:05.692 | W |    8 | 02 56 56 ED DE 4B 01 03
