**********************************************************************
ENLYZE PortSniffer Tool 2.1 (acc298dbb4a387e03b3404c1812f60e245738d2b)
Copyright 2020-2022 Colin Finck, ENLYZE GmbH <c.finck@enlyze.com>
**********************************************************************

UTC TIMESTAMP           | T |  LEN | DATA
2024-03-12 23:46:47.567 | R |    9 | 84 41 E3 4B 95 41 DD 3A 65
2024-03-12 23:46:48.052 | R |    9 | 84 41 E3 4C 4F 41 DD 3B E3
2024-03-12 23:46:48.533 | R |    9 | 84 41 E3 4D 60 41 DD 3D 88
2024-03-12 23:46:49.010 | R |    9 | 84 41 E3 4D F8 41 DD 3F 1C
2024-03-12 23:46:49.485 | R |    9 | 84 41 E3 4E D3 41 DD 40 9F
2024-03-12 23:46:49.968 | R |    9 | 84 41 E3 4F 35 41 DD 41 F7
2024-03-12 23:46:50.452 | R |    9 | 84 41 E3 4F 60 41 DD 42 90
2024-03-12 23:46:50.670 | R |    9 | 83 42 DA DA E2 28 BA F7 E9
2024-03-12 23:46:50.937 | R |   10 | 84 41 E3 50 1F 41 DD 43 80 80
2024-03-12 23:46:51.405 | R |    9 | 84 41 E3 50 BE 41 DD 44 7B
2024-03-12 23:46:51.888 | R |    9 | 84 41 E3 51 92 41 DD 45 8C
2024-03-12 23:46:52.372 | R |   10 | 84 41 E3 52 80 82 41 DD 47 05
2024-03-12 23:46:52.856 | R |    9 | 84 41 E3 52 EF 41 DD 47 DA
2024-03-12 23:46:53.325 | R |   10 | 84 41 E3 53 80 83 41 DD 48 BF
2024-03-12 23:46:53.811 | R |    9 | 84 41 E3 54 4D 41 DD 49 CB
2024-03-12 23:46:54.296 | R |    9 | 84 41 E3 54 BA 41 DD 4A 28
2024-03-12 23:46:54.780 | R |    9 | 84 41 E3 55 5D 41 DD 4A D6
2024-03-12 23:46:55.247 | R |    9 | 84 41 E3 56 0C 41 DD 4B A6
2024-03-12 23:46:55.670 | R |    9 | 83 42 C8 00 00 A9 64 E6 0F
2024-03-12 23:46:55.732 | R |    9 | 84 41 E3 56 42 41 DD 4C 5A
2024-03-12 23:46:56.216 | R |    9 | 84 41 E3 56 A5 41 DD 4D 45
2024-03-12 23:46:56.700 | R |    9 | 84 41 E3 57 2D 41 DD 4D F9
2024-03-12 23:46:57.167 | R |    9 | 84 41 E3 57 27 41 DD 4E 5B
2024-03-12 23:46:57.652 | R |    9 | 84 41 E3 57 79 41 DD 4E D9
2024-03-12 23:46:58.133 | R |    9 | 84 41 E3 58 22 41 DD 50 05
2024-03-12 23:46:58.616 | R |   10 | 84 41 E3 58 80 85 41 DD 51 10
2024-03-12 23:46:59.100 | R |    9 | 84 41 E3 59 CC 41 DD 52 06
2024-03-12 23:46:59.568 | R |    9 | 84 41 E3 5A 3E 41 DD 52 EB
2024-03-12 23:47:00.051 | R |    9 | 84 41 E3 5A 54 41 DD 53 74
2024-03-12 23:47:00.536 | R |    9 | 84 41 E3 5B 65 41 DD 54 4E
2024-03-12 23:47:00.676 | R |    9 | 83 42 C8 00 00 A8 90 D2 E2
2024-03-12 23:47:01.018 | R |    9 | 84 41 E3 5B CD 41 DD 55 44
2024-03-12 23:47:01.486 | R |    9 | 84 41 E3 5C 9C 41 DD 56 1E
2024-03-12 23:47:01.972 | R |    9 | 84 41 E3 5D 87 41 DD 56 BD
2024-03-12 23:47:02.452 | R |    9 | 84 41 E3 5D B2 41 DD 57 A7
2024-03-12 23:47:02.936 | R |    9 | 84 41 E3 5E 14 41 DD 58 30
2024-03-12 23:47:03.406 | R |    9 | 84 41 E3 5F 04 41 DD 58 B8
2024-03-12 23:47:03.894 | R |    9 | 84 41 E3 5F B8 41 DD 59 67
2024-03-12 23:47:04.380 | R |    9 | 84 41 E3 60 7D 41 DD 59 B9
2024-03-12 23:47:04.849 | R |    9 | 84 41 E3 61 4C 41 DD 5A 62
2024-03-12 23:47:05.334 | R |    9 | 84 41 E3 61 A3 41 DD 5B 32
2024-03-12 23:47:05.663 | R |    9 | 83 42 C8 00 00 A9 44 68 D5
2024-03-12 23:47:05.819 | R |    9 | 84 41 E3 62 88 41 DD 5B CB
2024-03-12 23:47:06.289 | R |    9 | 84 41 E3 63 3C 41 DD 5B 94
2024-03-12 23:47:06.773 | R |    9 | 84 41 E3 63 94 41 DD 5C 22
2024-03-12 23:47:07.257 | R |    9 | 84 41 E3 63 BA 41 DD 5C 17
2024-03-12 23:47:07.740 | R |    9 | 84 41 E3 63 CA 41 DD 5C 5E
2024-03-12 23:47:08.211 | R |    9 | 84 41 E3 63 DB 41 DD 5D 3E
