**********************************************************************
ENLYZE PortSniffer Tool 2.1 (acc298dbb4a387e03b3404c1812f60e245738d2b)
Copyright 2020-2022 Colin Finck, ENLYZE GmbH <c.finck@enlyze.com>
**********************************************************************

UTC TIMESTAMP           | T |  LEN | DATA
2024-03-12 01:19:28.837 | C |   24 | IOCTL_SERIAL_SET_BAUD_RATE: 115200
2024-03-12 01:19:28.837 | C |   24 | IOCTL_SERIAL_CLR_RTS
2024-03-12 01:19:28.837 | C |   24 | IOCTL_SERIAL_SET_DTR
2024-03-12 01:19:28.837 | C |   24 | IOCTL_SERIAL_SET_LINE_CONTROL: StopBits:STOP_BIT_1, Parity:NO_PARITY, WordLength:8
2024-03-12 01:19:28.837 | C |   24 | IOCTL_SERIAL_SET_HANDFLOW: ControlHandShake:SERIAL_DTR_CONTROL, FlowReplace:, XonLimit:2048, XoffLimit:2048
2024-03-12 01:19:28.837 | C |   24 | IOCTL_SERIAL_SET_QUEUE_SIZE: InSize:8192, OutSize:2048
2024-03-12 01:19:28.837 | C |   24 | IOCTL_SERIAL_SET_TIMEOUTS: ReadIntervalTimeout:1, ReadTotalTimeoutMultiplier:0, ReadTotalTimeoutConstant:1, WriteTotalTimeoutMultiplier:0, WriteTotalTimeoutConstant:10
2024-03-12 01:19:28.837 | W |    8 | 02 56 56 ED DE 4B 01 03
2024-03-12 01:19:28.851 | R |   10 | 15 83 42 C8 00 00 A7 E5 4D B2
2024-03-12 01:19:28.851 | W |    4 | 02 56 56 03
2024-03-12 01:19:28.867 | R |   10 | 02 95 00 10 02 10 03 00 00 03
2024-03-12 01:19:28.882 | W |    6 | 02 47 70 00 37 03
2024-03-12 01:19:28.945 | R |    1 | 06
2024-03-12 01:19:30.198 | W |    4 | 02 56 56 03
2024-03-12 01:19:30.214 | R |   13 | 02 85 26 45 58 49 30 34 32 38 FF FF 03
2024-03-12 01:19:30.229 | W |    4 | 02 50 50 03
2024-03-12 01:19:30.233 | R |    5 | 02 80 FF FF 03
2024-03-12 01:19:30.234 | W |    8 | 02 56 56 ED DE 4B 01 03
2024-03-12 01:19:30.250 | R |   13 | 02 85 26 45 58 49 30 34 32 38 FF FF 03
2024-03-12 01:19:30.250 | W |    4 | 02 53 53 03
2024-03-12 01:19:30.267 | R |    4 | 02 0E 80 03
2024-03-12 01:19:30.293 | W |    4 | 02 50 50 03
2024-03-12 01:19:30.299 | R |    5 | 02 80 FF FF 03
2024-03-12 01:19:30.299 | W |    4 | 02 56 56 03
2024-03-12 01:19:30.316 | R |   13 | 02 85 26 45 58 49 30 34 32 38 FF FF 03
2024-03-12 01:19:30.340 | W |    4 | 02 50 50 03
2024-03-12 01:19:30.349 | R |    5 | 02 80 FF FF 03
2024-03-12 01:19:30.349 | W |    8 | 02 52 01 00 00 08 5B 03
2024-03-12 01:19:30.356 | R |   10 | 02 00 08 53 B2 FE 80 01 79 03
2024-03-12 01:19:30.356 | W |    4 | 02 56 56 03
2024-03-12 01:19:30.372 | R |   13 | 02 85 26 45 58 49 30 34 32 38 FF FF 03
2024-03-12 01:19:30.388 | W |    4 | 02 50 50 03
2024-03-12 01:19:30.403 | R |    5 | 02 80 FF FF 03
2024-03-12 01:19:30.404 | W |    9 | 02 52 10 02 00 00 08 58 03
2024-03-12 01:19:30.419 | R |   10 | 02 00 08 53 B2 FE 80 01 79 03
2024-03-12 01:19:30.419 | W |    8 | 02 52 01 00 08 FF A4 03
2024-03-12 01:19:30.435 | R |  130 | 02 CA 1B 13 4F 2C AA F0 38 01 9B 16 A3 F5 EE 28 46 90 00 00 00 17 1F 01 95 5A 46 A4 00 00 00 17 85 2E 6B 01 46 B8 00 00 00 18 05 DB 0C CE 46 CC 00 00 00 18 5D C9 E6 69 46 E0 00 00 00 18 CF F3 61 1B 46 F4 00 00 00 19 31 97 A1 FF 47 04 00 00 00 19 8F EE 4F D9 47 0E 00 00 00 1A 04 08 7B 0F 47 18 00 00 00 1A 50 17 37 9D 47 22 00 00 00 1A AF D5 D7 8F 47 2C 00 00 00 1B 13 D9 75 C0 47 36 00 00
