2024-03-12 19:44:29 - 2024-03-12 19:45:12

Timestamp	EXI0428_T(C)	EXI0428_I	EXI0428_P(C)	EXI0428_Mean(C)	EXI0428_Std.dev.(C)	EXI0428_Tamb	EXI0428_E	EXI0428_Cal	EXI0428_TF	EXI0428_OFF
0.000	100.000	4.40662e-15	FALSE	FALSE	FALSE	27.6648	0.03000	1.00000	1.0000	0.00000e+0
2.000	100.000	1.00000e-17	FALSE	FALSE	FALSE	27.6646	0.03000	1.00000	1.0000	0.00000e+0
4.000	100.000	1.00000e-17	FALSE	FALSE	FALSE	27.6649	0.03000	1.00000	1.0000	0.00000e+0
6.000	100.000	1.00000e-17	FALSE	FALSE	FALSE	27.6656	0.03000	1.00000	1.0000	0.00000e+0
8.000	152.070	2.41091e-13	FALSE	FALSE	FALSE	27.6665	0.03521	1.00000	1.0000	0.00000e+0
10.000	363.208	4.45775e-10	FALSE	FALSE	FALSE	27.6668	0.05632	1.00000	1.0000	0.00000e+0
12.000	388.791	8.18646e-10	FALSE	FALSE	FALSE	27.6669	0.05888	1.00000	1.0000	0.00000e+0
14.000	330.254	1.89658e-10	FALSE	FALSE	FALSE	27.6681	0.05303	1.00000	1.0000	0.00000e+0
16.000	281.629	4.54806e-11	FALSE	FALSE	FALSE	27.6682	0.04816	1.00000	1.0000	0.00000e+0
18.000	249.146	1.52411e-11	FALSE	FALSE	FALSE	27.6685	0.04491	1.00000	1.0000	0.00000e+0
20.000	225.967	6.46147e-12	FALSE	FALSE	FALSE	27.6693	0.04260	1.00000	1.0000	0.00000e+0
22.000	207.420	3.10227e-12	FALSE	FALSE	FALSE	27.6691	0.04074	1.00000	1.0000	0.00000e+0
24.000	191.941	1.60930e-12	FALSE	FALSE	FALSE	27.6699	0.03919	1.00000	1.0000	0.00000e+0
26.000	177.961	8.57655e-13	FALSE	FALSE	FALSE	27.6703	0.03780	1.00000	1.0000	0.00000e+0
28.000	165.580	4.74138e-13	FALSE	FALSE	FALSE	27.6709	0.03656	1.00000	1.0000	0.00000e+0
30.000	152.648	2.48436e-13	FALSE	FALSE	FALSE	27.6718	0.03526	1.00000	1.0000	0.00000e+0
32.000	142.270	1.43406e-13	FALSE	FALSE	FALSE	27.6721	0.03423	1.00000	1.0000	0.00000e+0
34.000	125.969	5.70756e-14	FALSE	FALSE	FALSE	27.6717	0.03260	1.00000	1.0000	0.00000e+0
36.000	102.248	1.31498e-14	FALSE	FALSE	FALSE	27.6720	0.03022	1.00000	1.0000	0.00000e+0
38.000	104.520	1.51315e-14	FALSE	FALSE	FALSE	27.6731	0.03045	1.00000	1.0000	0.00000e+0
40.000	100.000	1.00000e-17	FALSE	FALSE	FALSE	27.6737	0.03000	1.00000	1.0000	0.00000e+0
