2024-03-12 19:46:50 - 2024-03-12 19:47:53

Timestamp	EXI0428_T(C)	EXI0428_I	EXI0428_P(C)	EXI0428_Mean(C)	EXI0428_Std.dev.(C)	EXI0428_Tamb	EXI0428_E	EXI0428_Cal	EXI0428_TF	EXI0428_OFF
0.000	109.428	2.07577e-14	FALSE	FALSE	FALSE	27.6575	0.03094	1.00000	1.0000	0.00000e+0
4.999	100.000	1.00000e-17	FALSE	FALSE	FALSE	27.6619	0.03000	1.00000	1.0000	0.00000e+0
9.998	100.000	1.00000e-17	FALSE	FALSE	FALSE	27.6662	0.03000	1.00000	1.0000	0.00000e+0
14.997	100.000	1.00000e-17	FALSE	FALSE	FALSE	27.6695	0.03000	1.00000	1.0000	0.00000e+0
19.996	100.000	1.00000e-17	FALSE	FALSE	FALSE	27.6717	0.03000	1.00000	1.0000	0.00000e+0
24.995	390.083	8.42433e-10	FALSE	FALSE	FALSE	27.6745	0.05901	1.00000	1.0000	0.00000e+0
29.994	337.833	2.32881e-10	FALSE	FALSE	FALSE	27.6767	0.05378	1.00000	1.0000	0.00000e+0
34.993	230.258	7.59186e-12	FALSE	FALSE	FALSE	27.6781	0.04303	1.00000	1.0000	0.00000e+0
39.992	187.588	1.32835e-12	FALSE	FALSE	FALSE	27.6803	0.03876	1.00000	1.0000	0.00000e+0
44.991	154.963	2.77859e-13	FALSE	FALSE	FALSE	27.6817	0.03550	1.00000	1.0000	0.00000e+0
49.990	129.122	6.84809e-14	FALSE	FALSE	FALSE	27.6825	0.03291	1.00000	1.0000	0.00000e+0
54.989	100.000	6.96437e-15	FALSE	FALSE	FALSE	27.6836	0.03000	1.00000	1.0000	0.00000e+0
59.988	100.000	1.00000e-17	FALSE	FALSE	FALSE	27.6837	0.03000	1.00000	1.0000	0.00000e+0
